Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,15 лет и старше,,,,,91.8
2019,,,15 лет и старше,,,,,91.178938
2020,,,15 лет и старше,,,,,92.6
2021,,,15 лет и старше,,,,,92.994602
2022,,,15 лет и старше,,,,,92.960099
2023,,,15 лет и старше,,,,,93.173765
2024,,,15 лет и старше,,,,,91.0
2018,,,15 лет и старше,Городская,,,,94.9
2019,,,15 лет и старше,Городская,,,,95.590033
2020,,,15 лет и старше,Городская,,,,96.0
2021,,,15 лет и старше,Городская,,,,96.70329
2022,,,15 лет и старше,Городская,,,,96.039494
2023,,,15 лет и старше,Городская,,,,96.812713
2024,,,15 лет и старше,Городская,,,,92.4
2018,,,15 лет и старше,Сельская,,,,89.9
2019,,,15 лет и старше,Сельская,,,,88.555506
2020,,,15 лет и старше,Сельская,,,,90.5
2021,,,15 лет и старше,Сельская,,,,90.681478
2022,,,15 лет и старше,Сельская,,,,91.012154
2023,,,15 лет и старше,Сельская,,,,90.89864
2024,,,15 лет и старше,Сельская,,,,89.9
2018,,Мужчины,15 лет и старше,,,,,92.8
2019,,Мужчины,15 лет и старше,,,,,92.137465
2020,,Мужчины,15 лет и старше,,,,,93.2
2021,,Мужчины,15 лет и старше,,,,,94.137112
2022,,Мужчины,15 лет и старше,,,,,94.391087
2023,,Мужчины,15 лет и старше,,,,,94.496682
2024,,Мужчины,15 лет и старше,,,,,91.9
2018,,Женщины,15 лет и старше,,,,,91.0
2019,,Женщины,15 лет и старше,,,,,90.379166
2020,,Женщины,15 лет и старше,,,,,92.0
2021,,Женщины,15 лет и старше,,,,,92.036289
2022,,Женщины,15 лет и старше,,,,,91.767558
2023,,Женщины,15 лет и старше,,,,,92.051111
2024,,Женщины,15 лет и старше,,,,,90.2
2018,Баткенская область,,15 лет и старше,,,,KG05,91.1
2019,Баткенская область,,15 лет и старше,,,,KG05,92.501775
2020,Баткенская область,,15 лет и старше,,,,KG05,93.5
2021,Баткенская область,,15 лет и старше,,,,KG05,93.333536
2022,Баткенская область,,15 лет и старше,,,,KG05,92.94269
2023,Баткенская область,,15 лет и старше,,,,KG05,93.467282
2024,Баткенская область,,15 лет и старше,,,,KG05,92.9
2018,Джалал-Абадская область,,15 лет и старше,,,,KG03,90.6
2019,Джалал-Абадская область,,15 лет и старше,,,,KG03,82.95577
2020,Джалал-Абадская область,,15 лет и старше,,,,KG03,83.5
2021,Джалал-Абадская область,,15 лет и старше,,,,KG03,83.868737
2022,Джалал-Абадская область,,15 лет и старше,,,,KG03,86.897878
2023,Джалал-Абадская область,,15 лет и старше,,,,KG03,88.485885
2024,Джалал-Абадская область,,15 лет и старше,,,,KG03,89.1
2018,Иссык-Кульская область,,15 лет и старше,,,,KG02,92.1
2019,Иссык-Кульская область,,15 лет и старше,,,,KG02,93.390895
2020,Иссык-Кульская область,,15 лет и старше,,,,KG02,95.2
2021,Иссык-Кульская область,,15 лет и старше,,,,KG02,96.414753
2022,Иссык-Кульская область,,15 лет и старше,,,,KG02,96.500794
2023,Иссык-Кульская область,,15 лет и старше,,,,KG02,96.547004
2024,Иссык-Кульская область,,15 лет и старше,,,,KG02,93.3
2018,Нарынская область,,15 лет и старше,,,,KG04,89.4
2019,Нарынская область,,15 лет и старше,,,,KG04,89.199874
2020,Нарынская область,,15 лет и старше,,,,KG04,92.2
2021,Нарынская область,,15 лет и старше,,,,KG04,93.035508
2022,Нарынская область,,15 лет и старше,,,,KG04,94.135975
2023,Нарынская область,,15 лет и старше,,,,KG04,94.583073
2024,Нарынская область,,15 лет и старше,,,,KG04,93.9
2018,Ошская область,,15 лет и старше,,,,KG06,87.6
2019,Ошская область,,15 лет и старше,,,,KG06,89.256132
2020,Ошская область,,15 лет и старше,,,,KG06,93.2
2021,Ошская область,,15 лет и старше,,,,KG06,92.867771
2022,Ошская область,,15 лет и старше,,,,KG06,89.456106
2023,Ошская область,,15 лет и старше,,,,KG06,86.458692
2024,Ошская область,,15 лет и старше,,,,KG06,85.2
2018,Таласская область,,15 лет и старше,,,,KG07,91.5
2019,Таласская область,,15 лет и старше,,,,KG07,90.937706
2020,Таласская область,,15 лет и старше,,,,KG07,92.6
2021,Таласская область,,15 лет и старше,,,,KG07,92.877988
2022,Таласская область,,15 лет и старше,,,,KG07,94.270923
2023,Таласская область,,15 лет и старше,,,,KG07,95.993586
2024,Таласская область,,15 лет и старше,,,,KG07,93.8
2018,Чуйская область,,15 лет и старше,,,,KG08,94.6
2019,Чуйская область,,15 лет и старше,,,,KG08,95.858208
2020,Чуйская область,,15 лет и старше,,,,KG08,96.0
2021,Чуйская область,,15 лет и старше,,,,KG08,96.944232
2022,Чуйская область,,15 лет и старше,,,,KG08,97.02748
2023,Чуйская область,,15 лет и старше,,,,KG08,97.926952
2024,Чуйская область,,15 лет и старше,,,,KG08,94.6
2018,г. Бишкек,,15 лет и старше,,,,KG11,97.0
2019,г. Бишкек,,15 лет и старше,,,,KG11,97.2808
2020,г. Бишкек,,15 лет и старше,,,,KG11,97.9
2021,г. Бишкек,,15 лет и старше,,,,KG11,97.652833
2022,г. Бишкек,,15 лет и старше,,,,KG11,98.077228
2023,г. Бишкек,,15 лет и старше,,,,KG11,98.078222
2024,г. Бишкек,,15 лет и старше,,,,KG11,92.8
2018,г. Ош,,15 лет и старше,,,,KG21,88.3
2019,г. Ош,,15 лет и старше,,,,KG21,91.838606
2020,г. Ош,,15 лет и старше,,,,KG21,91.9
2021,г. Ош,,15 лет и старше,,,,KG21,95.83957
2022,г. Ош,,15 лет и старше,,,,KG21,90.983385
2023,г. Ош,,15 лет и старше,,,,KG21,95.401413
2024,г. Ош,,15 лет и старше,,,,KG21,90.9
2018,,,от 15 до 28 лет,,,,,90.9
2019,,,от 15 до 28 лет,,,,,89.361139
2020,,,от 15 до 28 лет,,,,,90.1
2021,,,от 15 до 28 лет,,,,,91.964757
2022,,,от 15 до 28 лет,,,,,90.46897
2023,,,от 15 до 28 лет,,,,,91.59488
2024,,,от 15 до 28 лет,,,,,88.0
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.9
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.334863
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,96.1
2021,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.62544
2022,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.809966
2023,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.77244
2024,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,93.0
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,78.8
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,80.597836
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,85.6
2021,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,86.706527
2022,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,88.221111
2023,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,88.002463
2024,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,89.7
2018,,,15 лет и старше,,,Начальное образование,,58.1
2019,,,15 лет и старше,,,Начальное образование,,60.727949
2020,,,15 лет и старше,,,Начальное образование,,68.7
2021,,,15 лет и старше,,,Начальное образование,,68.076027
2022,,,15 лет и старше,,,Начальное образование,,69.811293
2023,,,15 лет и старше,,,Начальное образование,,71.333679
2024,,,15 лет и старше,,,Начальное образование,,75.2
2018,,,15 лет и старше,,,Первый этап среднего образования,,84.0
2019,,,15 лет и старше,,,Первый этап среднего образования,,82.680604
2020,,,15 лет и старше,,,Первый этап среднего образования,,85.6
2021,,,15 лет и старше,,,Первый этап среднего образования,,89.482325
2022,,,15 лет и старше,,,Первый этап среднего образования,,85.757159
2023,,,15 лет и старше,,,Первый этап среднего образования,,86.907003
2024,,,15 лет и старше,,,Первый этап среднего образования,,85.1
2018,,,15 лет и старше,,,Второй этап среднего образования,,92.8
2019,,,15 лет и старше,,,Второй этап среднего образования,,92.037394
2020,,,15 лет и старше,,,Второй этап среднего образования,,92.9
2021,,,15 лет и старше,,,Второй этап среднего образования,,92.677684
2022,,,15 лет и старше,,,Второй этап среднего образования,,93.032104
2023,,,15 лет и старше,,,Второй этап среднего образования,,92.987655
2024,,,15 лет и старше,,,Второй этап среднего образования,,91.4
2018,,,15 лет и старше,,,Послесреднее нетретичное образование,,96.4
2019,,,15 лет и старше,,,Послесреднее нетретичное образование,,96.037143
2020,,,15 лет и старше,,,Послесреднее нетретичное образование,,96.8
2021,,,15 лет и старше,,,Послесреднее нетретичное образование,,97.302275
2022,,,15 лет и старше,,,Послесреднее нетретичное образование,,97.325262
2023,,,15 лет и старше,,,Послесреднее нетретичное образование,,97.287714
2024,,,15 лет и старше,,,Послесреднее нетретичное образование,,94.5
2018,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.1
2019,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,97.488857
2020,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.4
2021,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.334718
2022,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.908492
2023,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.722923
2024,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,94.1
2018,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,88.941427
2019,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,86.235104
2020,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,87.533804
2021,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,86.414024
2022,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,91.968006
2023,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,95.114618
2024,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,92.7
2018,,,15 лет и старше,,Квинтиль 2,,,90.234584
2019,,,15 лет и старше,,Квинтиль 2,,,90.9333
2020,,,15 лет и старше,,Квинтиль 2,,,92.176936
2021,,,15 лет и старше,,Квинтиль 2,,,93.331957
2022,,,15 лет и старше,,Квинтиль 2,,,91.809336
2023,,,15 лет и старше,,Квинтиль 2,,,93.151802
2024,,,15 лет и старше,,Квинтиль 2,,,90.8
2018,,,15 лет и старше,,Квинтиль 3,,,91.864446
2019,,,15 лет и старше,,Квинтиль 3,,,90.460037
2020,,,15 лет и старше,,Квинтиль 3,,,95.223429
2021,,,15 лет и старше,,Квинтиль 3,,,94.055976
2022,,,15 лет и старше,,Квинтиль 3,,,91.275247
2023,,,15 лет и старше,,Квинтиль 3,,,89.969911
2024,,,15 лет и старше,,Квинтиль 3,,,91.4
2018,,,15 лет и старше,,Квинтиль 4,,,91.919084
2019,,,15 лет и старше,,Квинтиль 4,,,93.289778
2020,,,15 лет и старше,,Квинтиль 4,,,93.748841
2021,,,15 лет и старше,,Квинтиль 4,,,95.449908
2022,,,15 лет и старше,,Квинтиль 4,,,94.397289
2023,,,15 лет и старше,,Квинтиль 4,,,92.498347
2024,,,15 лет и старше,,Квинтиль 4,,,89.5
2018,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,94.603144
2019,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,93.356497
2020,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,95.771799
2021,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,96.978118
2022,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,96.7407
2023,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,95.135671
2024,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,91.1
